Phishing Term,Phishing Weight,Safe Term,Safe Weight
click,5.208609639473044,enron,-7.257132148307976
http,4.5320323612441795,wrote,-5.834242990413495
remove,3.4740494101994193,url date,-4.3590851153939525
money,3.424563731660676,url,-4.310778769850856
free,3.390166529236411,language,-4.055016483417393
save,2.9780118543348926,thanks,-4.017578708255167
life,2.7809126622926383,university,-3.6570999108297775
software,2.758868028645434,attached,-3.5340437971625156
offer,2.5922312955912465,vince,-3.433761064769572
online,2.5218157195293096,date,-3.3498120163645417
site,2.5117093894131894,linguistics,-3.3296630627582915
com,2.498066769362174,edu,-3.025714042074273
viagra,2.4928822301058062,enron com,-2.968959001149787
hello,2.4893328655394673,louise,-2.7974431860099402
reply,2.488237515738727,pm,-2.719616724383659
meds,2.4830201878559697,users,-2.551999241546491
best,2.469184209016812,questions,-2.5386549676838
low,2.438437906902186,august,-2.411166228545383
email,2.403666124306859,september,-2.3780092805835107
removed,2.34256519577644,english,-2.375150144808203
