Feature,Importance
URLLength,0.21721906406743602
IsHTTPS,0.1857819116658409
NoOfSubDomain,0.1299024357713732
NoOfDegitsInURL,0.11939797895196455
NoOfLettersInURL,0.1060212712062863
DomainLength,0.0690366792674819
TLDLength,0.053118423589651166
LetterRatioInURL,0.03814433928216224
DegitRatioInURL,0.03718267568251021
SpacialCharRatioInURL,0.028571784090799558
NoOfQMarkInURL,0.006547687722090247
NoOfOtherSpecialCharsInURL,0.0054632018341525
NoOfEqualsInURL,0.0031449133961188556
NoOfAmpersandInURL,0.00043056436875081144
HasObfuscation,3.137784880984188e-05
ObfuscationRatio,5.3906935437105225e-06
IsDomainIP,3.005610280862961e-07
NoOfObfuscatedChar,0.0
